date,open,high,low,close,volume,turn
2016-11-30,303.9067931,305.8746846,301.2860913,301.8821354,2675237,0.212963038
2016-12-01,302.752549,307.0951559,301.5036947,303.7175727,2794182,0.22243169
2016-12-02,303.6986507,305.7800745,301.8064473,304.427149,3062833,0.243817733
2016-12-05,301.9956676,307.0478508,298.7978438,298.901915,4206081,0.334826331
2016-12-06,299.1857455,308.9778983,299.1857455,308.826522,3892309,0.309848417
2016-12-07,309.4887932,310.7944136,306.5085728,309.8010068,2527174,0.201176439
2016-12-08,310.3308237,321.6745833,309.375261,319.5080104,5447578,0.433656069
2016-12-09,319.0254985,321.1258443,316.016895,319.5553154,3449559,0.274603172
2016-12-12,319.4985493,321.6745833,308.1453288,309.2428067,5033244,0.400672888
2016-12-13,309.2238847,316.9440747,307.9561084,315.0613323,4178000,0.332590934
2016-12-14,315.0518713,316.0642001,310.7944136,314.361217,3202902,0.254967968
2016-12-15,314.5409764,315.0424103,308.0317966,310.3686678,3920275,0.312074659
2016-12-16,309.375261,312.1000339,306.1395931,309.924,2505126,0.199421301
2016-12-19,308.4291593,316.3480306,308.0601796,308.3913152,3047187,0.242572229
2016-12-20,308.4670033,309.375261,304.4649931,308.8832881,3083159,0.24543579
2016-12-21,309.2806508,311.5418339,306.1206711,310.9457898,2471124,0.196714562
2016-12-22,310.3213627,310.7565695,307.3695254,307.6722779,1467813,0.116845691
2016-12-23,306.1112101,307.0100067,301.9294405,302.780932,3109555,0.247537052
2016-12-26,301.8348303,307.4735965,299.1573625,306.9910847,2600143,0.206985158
2016-12-27,307.0194677,311.0782441,306.063905,308.5805355,2006229,0.159706457
2016-12-28,309.3658,310.3213627,305.9030677,306.2720474,1787811,0.142319227
2016-12-29,306.5369558,310.1983695,305.5908541,309.6685525,2122512,0.1689632
2016-12-30,309.0062813,317.2184442,309.0062813,316.1398883,3468767,0.27613223
2017-01-03,316.2628815,318.8362781,314.872112,316.52779,2076389,0.165291565
2017-01-04,316.5845561,333.1886412,316.565634,332.9426547,6525738,0.519483317
2017-01-05,331.1356004,332.5074479,326.8213766,328.0513089,4170448,0.331989755
2017-01-06,327.9566987,340.3884752,327.4458038,331.8546378,6809562,0.542077211
2017-01-09,329.0541767,333.8603734,327.8620885,329.7259089,3540500,0.281842557
2017-01-10,329.6691428,333.0278039,327.9188546,330.1894987,3172764,0.252568823
2017-01-11,329.243397,329.243397,324.9859393,326.8308376,2359851,0.187856642
2017-01-12,327.8715495,328.675736,325.941502,328.3446004,1777940,0.141533443
2017-01-13,328.2783733,328.666275,325.3454579,326.2820986,1828248,0.145538227
2017-01-16,325.5819834,326.2158715,320.5392612,323.0653528,3685545,0.293388907
2017-01-17,324.1344478,332.554753,323.5667867,330.312492,3518838,0.280118147
2017-01-18,330.0759665,337.5407091,328.4959767,335.9417972,4600570,0.366229745
2017-01-19,335.866109,339.158543,332.7439734,335.6012005,2852392,0.227065515
2017-01-20,335.7714989,338.1367531,334.0022886,335.856648,2134417,0.169910901
2017-01-23,337.6447803,340.4073973,330.6247055,332.2898445,3258118,0.259363454
2017-01-24,332.3371496,333.7846853,328.0607699,331.428892,2691458,0.214254316
2017-01-25,331.1166784,331.1166784,327.5404139,328.8933394,2299036,0.183015445
2017-01-26,329.3758513,330.0002784,322.9045155,325.8563529,3782617,0.301116353
2017-02-03,327.3511936,330.359797,326.4050919,328.15538,2093643,0.166665075
2017-02-06,329.7069869,330.0854275,326.3672478,328.15538,1568079,0.124827396
2017-02-07,328.145919,328.675736,324.6453427,325.0616274,2051983,0.163348718
2017-02-08,325.2319257,326.8781427,324.2006749,325.6576715,1908854,0.151954891
2017-02-09,326.4050919,329.9908174,326.0361122,328.8744173,2332438,0.185674422
2017-02-10,329.8299801,330.9653021,326.4050919,326.48078,2405659,0.191503201
2017-02-13,325.4589902,332.9331937,323.4910986,330.899075,5358790,0.426588074
2017-02-14,330.7003937,333.5954649,330.2841089,331.3342818,2655868,0.211421163
2017-02-15,332.554753,333.4440886,328.4865156,329.7448309,2625696,0.209019312
2017-02-16,329.7164479,329.8299801,326.8876037,329.3285462,1764230,0.140442055
2017-02-17,330.0948886,335.3362921,328.7703462,331.6654174,2910234,0.231670044
2017-02-20,331.5235022,342.7915736,331.1450615,341.8170888,6185340,0.492385833
2017-02-21,342.3752888,342.8956448,337.9286108,339.4045294,2770577,0.220552607
2017-02-22,341.1737396,346.7652008,340.5966176,342.3847498,3713031,0.295576939
2017-02-23,341.5143363,345.781255,340.3695532,342.2049905,2332806,0.185703716
2017-02-24,342.488821,343.3308516,340.6439227,343.0754041,1769278,0.140843902
2017-02-27,342.9524109,343.2930075,337.5690921,337.9475328,2540046,0.202201118
2017-02-28,337.7583125,339.8397362,334.5226446,335.5444344,2747351,0.218703695
2017-03-01,335.9607192,338.8936345,335.866109,337.3893328,2194420,0.174687458
2017-03-02,337.483943,337.7583125,335.4214412,337.5880141,2210362,0.175956525
2017-03-03,335.866109,338.9125565,335.866109,337.3231057,1415355,0.112669756
2017-03-06,338.3827396,340.1614108,337.3325667,339.6126718,2281884,0.181650055
2017-03-07,338.7327972,348.9980008,338.7327972,347.40855,4628698,0.368468883
2017-03-08,347.3896279,348.6290212,345.800177,347.4842381,1603770,0.127668588
2017-03-09,347.2193296,350.0387127,345.8569431,349.9630246,2340606,0.186324638
2017-03-10,349.9819466,356.6803468,348.5060279,349.9157195,4095105,0.325992053
2017-03-13,350.1049398,354.1542552,347.7207635,351.5240924,2767432,0.220302249
2017-03-14,351.5240924,353.7001264,348.4871059,349.5845839,2041649,0.162526077
2017-03-15,349.5845839,354.9300586,349.1209941,354.4853908,2515526,0.200249196
2017-03-16,356.264062,357.910279,352.7067196,354.5705399,2502260,0.199193153
2017-03-17,352.9905501,363.7288045,352.9905501,358.0805773,3470026,0.276232453
2017-03-20,359.9917028,365.8669944,358.459018,365.5831639,3154594,0.251122395
2017-03-21,365.7156182,375.1293302,365.6683131,372.7735369,4846096,0.385774915
2017-03-22,369.481103,373.331737,364.2491605,373.2182048,4553271,0.362464494
2017-03-23,370.9002556,372.7546149,365.7629232,368.7809877,3450481,0.274676568
2017-03-24,371.174625,372.0261166,364.2491605,365.9710656,3328772,0.264987886
2017-03-27,365.2236453,368.2795538,357.9954282,358.4022519,5369028,0.427403073
2017-03-28,359.4713468,360.6066689,356.3586722,359.7646384,4118717,0.327871693
2017-03-29,360.4742146,365.0060419,359.4240417,362.9719232,3729967,0.296925134
2017-03-30,362.3569571,366.0372927,361.9785164,365.3277164,3161299,0.251656148
2017-03-31,365.3844826,367.0874656,363.4733571,365.5358588,2447422,0.194827757
2017-04-05,364.8735876,373.7007166,364.2491605,368.6579945,4078998,0.324709851
2017-04-06,368.0430284,371.8179742,365.7913063,370.7867233,2885720,0.2297186
2017-04-07,371.8085132,372.7640759,368.6012284,371.694981,2409723,0.191826717
2017-04-10,372.7640759,372.7640759,367.0874656,368.2227877,2886948,0.229816355
2017-04-11,367.1347707,369.6419403,360.0863129,364.52353,4353072,0.346527593
2017-04-12,364.52353,369.9257708,364.0599401,369.1972725,2700291,0.214957469
2017-04-13,369.7176284,377.1066828,369.4621809,376.9174625,4564835,0.36338505
2017-04-14,377.9014082,378.327154,373.7101776,374.1359234,2364656,0.188239145
2017-04-17,369.9257708,376.8133913,367.6078216,374.457598,2879371,0.229213186
2017-04-18,373.331737,384.6376525,373.331737,382.8400592,4958100,0.394691027
2017-04-19,381.2789914,387.0502118,381.1465371,383.8713101,3755011,0.298918769
2017-04-20,384.2024457,397.7695443,384.2024457,392.9255035,5045768,0.401669864
2017-04-21,392.632212,393.199873,378.4406862,378.9421201,4933292,0.392716179
2017-04-24,379.0272693,383.1711948,368.0335674,377.0688387,5003797,0.39832875
2017-04-25,382.9819745,397.5235578,382.9819745,396.3125476,7619271,0.606534337
2017-04-26,396.2747036,405.5748834,390.7494695,395.432673,5662412,0.450757994
2017-04-27,393.1336459,399.2265409,388.3085271,398.725107,2824071,0.224811013
2017-04-28,399.245463,400.2010257,387.8070932,391.1941374,4950587,0.394092953
